text_name,errors,
exam2014/AAl_36_2.txt,1,
exam2014/AAl_6_1.txt,1,
exam2014/ADe_11_1.txt,1,
exam2014/ADe_17_1.txt,1,
exam2014/ADe_19_2.txt,1,
exam2014/ADe_4_2.txt,1,
exam2014/ADe_7_1.txt,1,
exam2014/AMe_28_2.txt,1,
exam2014/AMe_2_1.txt,1,
exam2014/ASt_12_2.txt,1,
exam2014/ASt_33_1.txt,1,
exam2014/ASt_3_1.txt,1,
exam2014/ASt_5_2.txt,1,
exam2014/DAr_10_2.txt,1,
exam2014/DAr_12_2.txt,1,
exam2014/DAr_15_1.txt,1,
exam2014/DAr_16_2.txt,1,
exam2014/DAr_19_1.txt,1,
exam2014/DAr_25_2.txt,1,
exam2014/DAr_30_2(full).txt,1,
exam2014/DAr_30_2.txt,1,
exam2014/DAr_31_1.txt,1,
exam2014/DAr_38_2.txt,1,
exam2014/DAr_40_2.txt,1,
exam2014/DAr_41_2.txt,1,
exam2014/DAr_7_2(full).txt,1,
exam2014/DAr_7_2.txt,1,
exam2014/DAr_8_1.txt,1,
exam2014/DAr_9_2.txt,1,
exam2014/DZu_12_1.txt,1,
exam2014/DZu_18_2.txt,1,
exam2014/DZu_19_2.txt,1,
exam2014/DZu_32_1.txt,1,
exam2014/DZu_41_2.txt,1,
exam2014/EEm_20_2.txt,1,
exam2014/EEm_22_2.txt,1,
exam2014/EEm_30_2.txt,1,
exam2014/EEm_34_2.txt,1,
exam2014/EEm_35_2.txt,1,
exam2014/EEm_3_2.txt,1,
exam2014/EPa_21_2.txt,1,
exam2014/EPa_30_2.txt,1,
exam2014/EPa_78_1.txt,1,
exam2014/EPa_7_1.txt,1,
exam2014/EPa_83_2.txt,1,
exam2014/ESha_10_2.txt,1,
exam2014/ESha_12_1.txt,1,
exam2014/ESha_20_2.txt,1,
exam2014/ESha_23_2.txt,1,
exam2014/ESha_26_2.txt,1,
exam2014/ESha_29_2.txt,1,
exam2014/ESha_41_1.txt,1,
exam2014/ESha_45_1.txt,1,
exam2014/ESha_59_2.txt,1,
exam2014/ESha_61_2.txt,1,
exam2014/ESha_62_2.txt,1,
exam2014/ESha_7_2.txt,1,
exam2014/EZa_14_1.txt,1,
exam2014/EZa_15_1.txt,1,
exam2014/EZa_15_2.txt,1,
exam2014/EZa_17_2.txt,1,
exam2014/EZa_23_2.txt,1,
exam2014/EZa_29_1.txt,1,
exam2014/EZa_31_2.txt,1,
exam2014/EZa_36_2.txt,1,
exam2014/EZa_38_2.txt,1,
exam2014/EZa_3_2.txt,1,
exam2014/EZa_41_1.txt,1,
exam2014/EZa_4_1.txt,1,
exam2014/EZa_51_2.txt,1,
exam2014/EZa_58_2.txt,1,
exam2014/EZa_6_2.txt,1,
exam2014/EZa_76_1.txt,1,
exam2014/EZa_78_1.txt,1,
exam2014/EZa_81_2.txt,1,
exam2014/EZa_87_1.txt,1,
exam2014/EZa_88_1.txt,1,
exam2014/EZa_8_2.txt,1,
exam2014/EZa_90_1.txt,1,
exam2014/EZa_90_2.txt,1,
exam2014/KKo_11_1.txt,1,
exam2014/KKo_11_2.txt,1,
exam2014/KKo_12_2.txt,1,
exam2014/KKo_14_2.txt,1,
exam2014/KKo_16_2.txt,1,
exam2014/KKo_17_2.txt,1,
exam2014/KKo_19_2.txt,1,
exam2014/KKo_20_1.txt,1,
exam2014/KKo_20_2.txt,1,
exam2014/KKo_23_1.txt,1,
