text_name,errors,,
exam2014/AAl_15_1.txt,1,,
exam2014/AAl_17_1.txt,1,,
exam2014/AAl_1_2.txt,1,,
exam2014/AAl_22_2.txt,1,,4
exam2014/AAl_28_2.txt,1,,
exam2014/AAl_35_1.txt,1,,
exam2014/AAl_3_1.txt,1,,
exam2014/AAl_5_2.txt,1,,
exam2014/AAl_6_1.txt,1,,
exam2014/AAl_8_1.txt,1,,
exam2014/ADe_11_2.txt,1,,
exam2014/ADe_12_2.txt,1,,
exam2014/ADe_6_1.txt,1,,
exam2014/AMe_13_2.txt,1,,
exam2014/AMe_1_2.txt,1,,
exam2014/AMe_21_1.txt,1,,
exam2014/AMe_25_1.txt,1,,
exam2014/ASt_18_1.txt,1,,
exam2014/ASt_18_2.txt,1,,
exam2014/ASt_21_2.txt,1,,
exam2014/ASt_24_2.txt,1,,
exam2014/ASt_27_1.txt,1,,
exam2014/ASt_27_2.txt,1,,
exam2014/ASt_30_1.txt,1,,
exam2014/DAr_12_2.txt,1,,
exam2014/DAr_13_1.txt,1,,
exam2014/DAr_15_2.txt,1,,
exam2014/DAr_1_1.txt,1,,
exam2014/DAr_22_1.txt,1,,
exam2014/DAr_23_1.txt,1,,
exam2014/DAr_23_2.txt,1,,
exam2014/DAr_25_1.txt,1,,
exam2014/DAr_27_1.txt,1,,
exam2014/DAr_27_2.txt,1,,
exam2014/DAr_28_1.txt,1,,
exam2014/DAr_30_2.txt,1,,
exam2014/DAr_34_2.txt,1,,
exam2014/DAr_36_1.txt,1,,
exam2014/DAr_37_2.txt,1,,
exam2014/DAr_38_2.txt,1,,
exam2014/DAr_42_2.txt,1,,
exam2014/DAr_7_2(full).txt,1,,
exam2014/DAr_8_1.txt,1,,
exam2014/DZu_13_2.txt,1,,
exam2014/DZu_14_1.txt,1,,
exam2014/DZu_15_1.txt,1,,
exam2014/DZu_17_1.txt,1,,
exam2014/DZu_17_2.txt,1,,
exam2014/DZu_19_1.txt,1,,
exam2014/DZu_1_2.txt,1,,
exam2014/DZu_21_1.txt,1,,
exam2014/DZu_22_1.txt,1,,
exam2014/DZu_22_2.txt,1,,
exam2014/DZu_23_1.txt,1,,
exam2014/DZu_26_2.txt,1,,
exam2014/DZu_27_1.txt,1,,
exam2014/DZu_28_1.txt,1,,
exam2014/DZu_28_2.txt,1,,
exam2014/DZu_2_1.txt,1,,
exam2014/DZu_31_1.txt,1,,
exam2014/DZu_32_2.txt,1,,
exam2014/DZu_34_1.txt,1,,
exam2014/DZu_35_1.txt,1,,
exam2014/DZu_37_2.txt,1,,
exam2014/DZu_5_1.txt,1,,
exam2014/DZu_5_2.txt,1,,
exam2014/DZu_6_1.txt,1,,
exam2014/EEm_10_1.txt,1,,
exam2014/EEm_14_1.txt,1,,
exam2014/EEm_23_1.txt,1,,
exam2014/EEm_33_1.txt,1,,
exam2014/EEm_3_2.txt,1,,
exam2014/EEm_4_2.txt,1,,
exam2014/EPa_22_1.txt,1,,
exam2014/EPa_28_1.txt,1,,
exam2014/EPa_32_1.txt,1,,
exam2014/EPa_34_2.txt,1,,
exam2014/EPa_36_1.txt,1,,
exam2014/EPa_3_1.txt,1,,
exam2014/EPa_40_2.txt,1,,
exam2014/EPa_42_1.txt,1,,
exam2014/EPa_45_1.txt,1,,
exam2014/EPa_57_2.txt,1,,
exam2014/EPa_58_1.txt,1,,
exam2014/EPa_58_2.txt,1,,
exam2014/EPa_63_2.txt,1,,
exam2014/EPa_69_1.txt,1,,
exam2014/EPa_6_1.txt,1,,
exam2014/EPa_77_1.txt,1,,
exam2014/EPa_7_1.txt,1,,
exam2014/ESha_11_1.txt,1,,
exam2014/ESha_11_2.txt,1,,
exam2014/ESha_12_1.txt,1,,
exam2014/ESha_15_2.txt,1,,
exam2014/ESha_18_2.txt,1,,
exam2014/ESha_19_1.txt,1,,
exam2014/ESha_1_1.txt,1,,
exam2014/ESha_23_2.txt,1,,
exam2014/ESha_26_1.txt,1,,
exam2014/ESha_27_2.txt,1,,
exam2014/ESha_28_2.txt,1,,
exam2014/ESha_30_2.txt,1,,
exam2014/ESha_32_1.txt,1,,
exam2014/ESha_32_2.txt,1,,
exam2014/ESha_34_1.txt,1,,
exam2014/ESha_47_1.txt,1,,
exam2014/ESha_48_1.txt,1,,
exam2014/ESha_52_1.txt,1,,
exam2014/ESha_53_2.txt,1,,
exam2014/ESha_54_1.txt,1,,
exam2014/ESha_60_1.txt,1,,
exam2014/ESha_61_2.txt,1,,
exam2014/ESha_62_2.txt,1,,
exam2014/ESha_66_2.txt,1,,
exam2014/ESha_67_2.txt,1,,
exam2014/ESha_9_1.txt,1,,
exam2014/EZa_10_1.txt,1,,
exam2014/EZa_10_2.txt,1,,
exam2014/EZa_41_2.txt,1,,
exam2014/KKo_18_1.txt,1,,
exam2014/KKo_20_2.txt,1,,
exam2014/KKo_2_2.txt,1,,
exam2014/LPo_19_2.txt,1,,
exam2014/MBi_21_1.txt,1,,
exam2014/MBi_21_2.txt,1,,
exam2014/MBi_3_1.txt,1,,
exam2014/MGr_19_1.txt,1,,
exam2014/MGr_21_1.txt,1,,
exam2014/MGr_22_1.txt,1,,
exam2014/MGr_2_2.txt,1,,
exam2014/MGr_3_2.txt,1,,
exam2014/MGr_9_2.txt,1,,
exam2014/MTsy_10_2.txt,1,,
